#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,mi,ft
2022,1,1,22,30,115,0.1,0.9,99,99,99,999,1021.5,13.7,14,2,99,99
2022,1,1,22,40,65,0,0.4,0.91,9.09,5.71,254,1021.6,13.9,13.9,1.7,99,99
2022,1,1,22,50,2,0.2,0.6,99,99,99,999,1021.7,13.4,13.9,1.8,99,99
2022,1,1,23,0,337,0.4,0.8,99,99,99,999,1021.8,13.3,13.9,2,99,99
2022,1,1,23,10,10,0.8,1.4,99,99,99,999,1021.9,13.2,13.9,2.1,99,99
2022,1,1,23,20,2,1.6,2.2,99,99,99,999,1021.9,13.2,13.8,2.1,99,99
2022,1,1,23,30,356,1.9,2.4,99,99,99,999,1021.9,13.3,13.8,2.6,99,99
2022,1,1,23,40,350,2.2,3,0.89,10,5.84,257,1021.9,13.3,13.9,2.4,99,99
2022,1,1,23,50,350,2.7,3.6,99,99,99,999,1022.1,13.3,13.8,3.8,99,99
2022,1,2,0,0,346,3.2,4.1,99,99,99,999,1022.2,13.3,13.8,4.4,99,99
2022,1,2,0,10,345,3.2,3.9,99,99,99,999,1022.3,13.2,13.8,4.1,99,99
2022,1,2,0,20,345,2.9,3.5,99,99,99,999,1022.4,13.3,13.7,4.6,99,99
2022,1,2,0,30,345,2.9,3.5,99,99,99,999,1022.5,13.2,13.7,5.4,99,99
2022,1,2,0,40,351,2.7,3.3,0.87,9.09,5.81,258,1022.6,13.2,13.7,5.4,99,99
2022,1,2,0,50,350,2.5,3,99,99,99,999,1022.7,13.1,13.7,5.4,99,99
2022,1,2,1,0,354,2.3,2.9,99,99,99,999,1022.8,13.1,13.7,5.3,99,99
2022,1,2,1,10,355,2,2.4,99,99,99,999,1023,13.1,13.6,5.8,99,99
2022,1,2,1,20,356,1.4,2.3,99,99,99,999,1023.2,13,13.6,5.3,99,99
2022,1,2,1,30,352,0.9,1.3,99,99,99,999,1023.2,13,13.6,5,99,99
2022,1,2,1,40,350,1,1.4,0.86,9.09,5.96,259,1023.3,13,13.6,5.5,99,99
2022,1,2,1,50,351,0.9,1.6,99,99,99,999,1023.3,12.9,13.6,5.4,99,99
2022,1,2,2,0,353,0.9,1.7,99,99,99,999,1023.3,12.9,13.6,5.5,99,99
2022,1,2,2,10,357,1.5,2.4,99,99,99,999,1023.4,12.9,13.6,5.6,99,99
2022,1,2,2,20,11,1,1.9,99,99,99,999,1023.6,13,13.6,5.5,99,99
2022,1,2,2,30,28,0.7,1.2,99,99,99,999,1023.9,13,13.6,5.9,99,99
2022,1,2,2,40,18,0.4,0.8,0.85,8.33,6.02,248,1023.9,12.9,13.6,5.5,99,99
2022,1,2,2,50,26,0,0.4,99,99,99,999,1024.1,12.9,13.6,5.9,99,99
2022,1,2,3,0,44,0.1,0.6,99,99,99,999,1024.2,12.8,13.6,5.7,99,99
2022,1,2,3,10,36,0.3,1,99,99,99,999,1024.2,12.9,13.6,5.5,99,99
2022,1,2,3,20,93,0.5,1.3,99,99,99,999,1024.4,12.9,13.6,5.9,99,99
2022,1,2,3,30,90,0.6,1.2,99,99,99,999,1024.4,12.9,13.6,5.8,99,99
2022,1,2,3,40,79,0.9,1.6,0.82,10,5.75,250,1024.4,13,13.6,5.6,99,99
2022,1,2,3,50,89,1,1.7,99,99,99,999,1024.5,13,13.6,6.2,99,99
2022,1,2,4,0,81,1.1,1.9,99,99,99,999,1024.6,13,13.6,6.7,99,99
